numero-experimentation,type-experimentation,site-essai,systeme-essai,lot-cellules,passage,stress,temps-traitement,genes-analyses,proteine-correspondante,proteines-analysees,gene-correspondant,projet,nom-item,numero-item,type-echantillon,nom-r-et-d,nom-commercial,reference-produit,pourcentage-produit,genre,espece,fold-change,augmentation-diminution,notation
22-PCR-55,PCR,CODIF INTERNATIONAL,NHEK,KR2H045,R3,Pas de stress,72h,FLG,https://www.ncbi.nlm.nih.gov/gene/2312,,,P18-36,NT,,ref,,,,,,,1,Ref,
22-PCR-55,PCR,CODIF INTERNATIONAL,NHEK,KR2H045,R3,Pas de stress,72h,IVL,,,,P18-36,NT,,ref,,,,,,,1,Ref,
22-PCR-55,PCR,CODIF INTERNATIONAL,NHEK,KR2H045,R3,Pas de stress,72h,MKI67,,,,P18-36,NT,,ref,,,,,,,1,Ref,
22-PCR-55,PCR,CODIF INTERNATIONAL,NHEK,KR2H045,R3,Pas de stress,72h,FLG,https://www.ncbi.nlm.nih.gov/gene/2312,,,P18-36,Codium,I22-01,substance principale,Codium fermenté PENT,,ALGxxx,1 %,,,"10,471",947 %,
22-PCR-55,PCR,CODIF INTERNATIONAL,NHEK,KR2H045,R3,Pas de stress,72h,IVL,,,,P18-36,Codium,I22-01,substance principale,Codium fermenté PENT,,ALGxxx,1 %,,,"12,918",1192 %,
22-PCR-55,PCR,CODIF INTERNATIONAL,NHEK,KR2H045,R3,Pas de stress,72h,MKI67,,,,P18-36,Codium,I22-01,substance principale,Codium fermenté PENT,,ALGxxx,1 %,,,"0,776",-22 %,
22-PCR-55,PCR,CODIF INTERNATIONAL,NHEK,KR2H045,R3,Pas de stress,72h,FLG,https://www.ncbi.nlm.nih.gov/gene/2312,,,P18-36,Codium,I22-01,substance principale,Codium fermenté PENT,,ALGxxx,"0,50 %",,,"3,006",201 %,
22-PCR-55,PCR,CODIF INTERNATIONAL,NHEK,KR2H045,R3,Pas de stress,72h,IVL,,,,P18-36,Codium,I22-01,substance principale,Codium fermenté PENT,,ALGxxx,"0,50 %",,,"9,355",836 %,
22-PCR-55,PCR,CODIF INTERNATIONAL,NHEK,KR2H045,R3,Pas de stress,72h,MKI67,,,,P18-36,Codium,I22-01,substance principale,Codium fermenté PENT,,ALGxxx,"0,50 %",,,"0,851",-15 %,
22-PCR-55,PCR,CODIF INTERNATIONAL,NHEK,KR2H045,R3,Pas de stress,72h,FLG,https://www.ncbi.nlm.nih.gov/gene/2312,,,P18-36,Codium,I22-01,substance principale,Codium fermenté PENT,,ALGxxx,"0,10 %",,,"1,595",60 %,
